Transaction ID,Transaction Amount,Transaction Date,Merchant Name,MCC,Customer ID,Customer Age,Customer Gender,Customer Location,Transaction Type,Device Info,IP Address,Transaction Currency,Transaction Frequency,Fraudulent
af2bbe96-ee43-4cb9-b033-fb5f6b53b5b1,60670,24-10-2023 17:40,Roth PLC,5411,3dd60bce-06ed-446c-a16a-1cf3d833909d,65,Female,Lake Sean,Debit,Opera/9.97.(X11; Linux i686; ru-UA) Presto/2.9.169 Version/10.00,9.221.128.13,USD,7,0
9aee60b7-6703-41f2-b759-955b506feff5,736.73,28-04-2024 07:07,Massey-Webster,5999,e41bfdb4-2cd4-4c93-bc08-f49842a6eaee,23,Female,Christopherfort,Debit,Opera/8.20.(Windows NT 5.2; unm-US) Presto/2.9.171 Version/12.00,183.129.95.152,USD,20,0
a95e6c54-a70c-4617-b1e2-0ce4f19c9834,577.77,22-04-2024 16:00,Collins Group,5411,f08a11dc-cd30-40af-969f-e7962a83e9d9,20,Male,Wilsonchester,Credit,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/51.0.817.0 Safari/534.0",48.229.221.39,USD,21,0
a369f9fc-8746-4018-9c02-7623668b4946,866.62,08-06-2023 16:05,Shaw LLC,5912,41b643f2-ffa2-45b5-b933-b7ef978209aa,35,Female,Watersberg,Online Transfer,"Mozilla/5.0 (iPad; CPU iPad OS 7_1_2 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/18.0.879.0 Mobile/56W550 Safari/535.0",42.249.128.51,EUR,7,0
579f66a4-6d3b-4bfe-bfd8-2eb5d50df122,370.81,16-10-2023 09:42,Martinez-Garcia,5812,7fbad961-1b5b-4599-a137-31b63de0e75b,60,Female,Michaelberg,Online Transfer,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_6; rv:1.9.4.20) Gecko/4545-02-24 17:07:59 Firefox/13.0,207.0.241.18,GBP,26,0
a114559f-a930-4537-a49e-fc9c15f5c663,270.68,29-09-2023 16:39,Cervantes-Rivas,5999,6a4bb506-d99d-498c-a827-4807d6cca232,32,Female,Jeffreychester,Debit,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_3) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/39.0.878.0 Safari/531.0",43.157.131.154,USD,23,0
a922c288-a944-4402-98f4-ff58d9751487,213.41,26-10-2023 14:00,"Orozco, Vargas and Davidson",5912,3d50d981-eb1f-498f-bfc7-4f2f151dd7e0,43,Female,Moralesville,Debit,"Mozilla/5.0 (Linux; Android 3.2.2) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/39.0.875.0 Safari/531.2",70.180.153.114,EUR,11,0
1e83c5b5-42df-4b52-ba84-821f1a5ccb3f,91.82,09-11-2023 12:08,Collins-Hunter,5411,d34eadf1-07a1-4058-a770-d108e3938277,73,Male,Port Rachelmouth,Debit,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/4.0),165.253.143.155,GBP,4,0
a66c2a50-12b6-4136-b0fe-bf188ef8bb94,24004,22-02-2024 19:37,Morris-Henson,5999,903e0f84-54f7-4147-8f28-9b5805967ec6,73,Male,Port Nicole,Online Transfer,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/43.0.896.0 Safari/534.1",33.240.180.8,GBP,24,0
76091c29-5670-4879-afe5-87312081ac28,682.03,05-03-2024 22:49,Gonzales LLC,5999,33eb744d-e5b4-4581-87f0-dd3024248d99,66,Female,New Jeremy,Online Transfer,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; ast-ES) AppleWebKit/532.3.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6532.3.1",8.174.234.25,EUR,3,0
6b0eb6a8-9798-48e0-8d87-993474d0aaf1,971.92,12-01-2024 12:15,Wall-Fowler,5812,a96a4f0c-20f7-4d9a-9278-5b529906ae72,50,Male,Robertstown,Online Transfer,Opera/9.24.(Windows NT 6.1; nr-ZA) Presto/2.9.170 Version/11.00,24.246.64.33,EUR,21,0
1a1d4f31-827b-4b74-b8a0-64efa71bdfff,20.46,14-12-2023 10:07,Costa-Flynn,5814,ba6d0f02-2f4d-48df-9af1-888d00bad479,74,Female,West Kevin,Debit,Opera/8.84.(X11; Linux i686; tig-ER) Presto/2.9.189 Version/10.00,148.93.231.14,USD,24,0
bee54359-d61e-4b7b-869b-878c4aa9fab9,878.13,02-03-2024 23:40,Juarez-Brady,5411,72ba19bb-8dac-4518-ae55-2d1fabb2d6b8,23,Female,Janetberg,Debit,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; tn-ZA) AppleWebKit/532.4.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6532.4.4",128.191.239.97,GBP,12,0
edc4664d-d412-4352-95a9-e51fa2537cf5,995.15,12-01-2024 15:54,"Strickland, Gonzalez and Arroyo",5814,59a5af01-2953-4cbd-85a0-06ee9dac5bce,46,Female,Josephburgh,Debit,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/57.0.804.0 Safari/536.2",125.74.156.75,USD,28,0
5d6429d2-3fd9-4331-9c57-b6d499a6db8a,64.96,12-05-2024 13:32,Boone-Price,5411,1724e6f5-b553-4f98-af19-fec07ea4f5c0,55,Male,Clarkland,Online Transfer,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/5.1),90.9.239.33,USD,21,0
c755a1ea-9725-4052-b5da-ce9a2b2778c8,71.92,22-01-2024 03:19,Henderson-Li,5411,8c84b8b9-211e-4331-a550-4e7ebe9a928e,32,Male,Victoriafort,Debit,"Mozilla/5.0 (Linux; Android 2.2.2) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/37.0.881.0 Safari/532.0",192.204.213.90,EUR,1,0
7f89536c-f927-40dd-9787-47faf3686a94,82815,29-06-2023 17:21,Jackson and Sons,5814,2c5dd32f-eaa0-426a-883b-92779563deaa,60,Female,Wattsfurt,Debit,"Mozilla/5.0 (Linux; Android 3.2.5) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/58.0.823.0 Safari/535.0",112.66.197.17,GBP,12,0
d8860042-7da8-45df-8b2a-152b5451044b,808.21,01-04-2024 05:51,Smith Group,5999,0589bdd3-8eb1-4e64-8416-bf94d49f7aba,24,Male,Bakerview,Online Transfer,Opera/9.62.(X11; Linux x86_64; iw-IL) Presto/2.9.178 Version/11.00,79.216.87.121,GBP,17,0
7bfd206c-941a-427f-9f8e-0b5f2810e2c3,969.03,24-01-2024 23:34,Gibson LLC,5812,d45acdab-6d36-449d-bd5f-51b5cf72b521,28,Female,Denisemouth,Credit,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2920-02-26 06:18:47 Firefox/3.8,156.30.99.49,EUR,27,0
0fc1d924-7c87-479f-8525-acc34c5461f0,155.64,29-09-2023 00:15,Martin and Sons,5814,ce7b524d-fb7e-4747-b1c4-e57b9133c5d3,31,Male,Angelamouth,Online Transfer,Opera/8.69.(X11; Linux i686; lzh-TW) Presto/2.9.172 Version/12.00,65.246.50.25,GBP,28,0
e413b468-021c-48eb-8593-78a736ed27cd,17154,20-02-2024 21:25,Davila LLC,5411,72bb2814-d7b5-4646-81ac-62aa965ea321,21,Female,Oliviafort,Online Transfer,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/532.26.6 (KHTML, like Gecko) Version/5.0 Safari/532.26.6",9.119.216.204,GBP,28,0
8f72be24-56f3-4839-a48f-144294cb7696,57.82,02-08-2023 06:34,Barry-Ford,5999,6837a709-b6f8-44c0-b1b2-6e38ccd724fd,23,Male,Colemanhaven,Debit,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/56.0.880.0 Mobile/77A979 Safari/531.0",51.45.98.82,GBP,16,0
917f198d-b325-44a3-9cd4-f97d602e5a2e,675.54,28-04-2024 11:56,Gross Ltd,5812,67892d58-7140-46c6-9666-ce1199d4dff4,43,Male,Jeremybury,Online Transfer,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/3571-01-31 12:11:50 Firefox/3.6.9,43.64.133.63,USD,15,0
4065619e-44b4-4f37-af01-baf47d4a74b9,239.45,05-05-2024 15:42,Kline-Jennings,5912,0a861ccd-e01d-4291-92a1-b5496dafe684,26,Female,Lake Nathan,Credit,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/535.20.3 (KHTML, like Gecko) Version/5.0.5 Safari/535.20.3",104.248.105.37,EUR,19,0
203dc5c7-dc12-41cf-8b4d-7f1dab5d408a,98701,04-02-2024 12:31,"Wright, Richardson and Martin",5999,36d373ec-1ef5-4176-8b22-26054accb6cf,,Male,Mcgrathshire,Debit,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/3.0),32.162.103.169,GBP,12,0
89e5fff5-6b02-49b7-a936-e58f5cb198e9,285.7,11-11-2023 21:47,Mcintyre-Evans,5912,86394207-27e5-40a6-bf13-2c318386f764,71,Female,West Taylor,Online Transfer,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/534.8.3 (KHTML, like Gecko) Version/4.0.3 Safari/534.8.3",208.226.31.168,GBP,20,0
11ae8914-ab57-4108-892c-f0a4fff98c9f,668.2,04-08-2023 16:04,"Simpson, Rollins and Woods",5999,b012552c-27a2-4455-b219-7960c54cc026,37,Male,East Jimmybury,Debit,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/5746-05-31 19:47:02 Firefox/3.8,84.238.88.118,EUR,25,0
147d753d-31f5-4a32-8b4c-2c12e1004a97,889.82,13-02-2024 05:23,Williams Inc,5999,9d608310-2b80-4b56-b5c2-ca78e81d88aa,27,Female,Freemanchester,Credit,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/3.1),88.94.136.12,GBP,3,0
7285dd45-4963-41f3-8f03-b6fdaa032d3a,905.43,04-06-2023 12:30,Mckinney-Mcintosh,5411,8df1095b-3dd3-45bf-a289-9242a268d63f,23,Female,Amberchester,Credit,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; nb-NO) AppleWebKit/532.37.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6532.37.5",133.2.196.47,USD,19,0
6053272c-95c2-49dc-a187-65ae255ce48b,552.13,12-02-2024 05:53,Mercado Group,5912,f48f2f14-1dd4-46d1-b7f4-d674b4f82c53,53,Male,Kevinfurt,Debit,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/6971-12-21 22:06:56 Firefox/3.8,182.182.50.81,USD,21,0
9aead905-d8d3-4f69-9051-e6c351e1e098,546.04,22-03-2024 08:17,King-Hernandez,5814,6e603c02-6850-4d36-a4e9-02a7d3bbb138,55,Male,Port Josephview,Credit,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/23.0.866.0 Safari/533.2",38.15.186.210,USD,9,0
f41be229-18fa-4171-97c7-ca1ce060ac75,308.95,11-11-2023 12:35,Martin-Gill,5411,ee1e1023-693e-49e4-9a83-e8e43228a087,75,Female,Lake Cindychester,Debit,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_9; rv:1.9.3.20) Gecko/9685-04-10 22:47:59 Firefox/3.6.6,125.36.203.130,GBP,7,0
92715a11-6199-4613-9564-40b8260a9f7f,18873,10-06-2023 15:56,Hughes PLC,5814,fd07ed3e-30d5-4a1b-b33d-6245168a84f9,67,Female,North Joshuaborough,Online Transfer,"Mozilla/5.0 (Linux; Android 6.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/26.0.857.0 Safari/535.0",183.134.96.28,GBP,18,0
c2ce3a55-0634-4e5c-87d5-2a7aaea359a3,925.84,27-10-2023 20:54,Bradley and Sons,5812,b70c401a-d28a-40ea-a0ca-cb6616e8666e,73,Male,New Monicamouth,Debit,Opera/8.95.(Windows 95; es-PE) Presto/2.9.185 Version/10.00,51.120.11.86,EUR,4,0
6655c44d-d0f2-4dae-96f7-ed1bc25b88a3,180.18,17-03-2024 18:13,"Haley, Todd and Ramirez",5814,f001377b-bcab-4052-a16d-351fa093ce13,68,Female,Lake Jessicachester,Online Transfer,Opera/8.63.(X11; Linux x86_64; an-ES) Presto/2.9.187 Version/10.00,98.233.249.10,GBP,25,0
