,Transaction Amount,MCC,Customer Age,Year,Month,Day,Hour,Minute,Transaction Type_Credit,Transaction Type_Debit,Transaction Type_Online Transfer,Fraudulent
0,60670.0,5411,65.0,2023,10,24,17,40,0,1,0,0.0
1,736.73,5999,23.0,2024,4,28,7,7,0,1,0,0.0
2,577.77,5411,20.0,2024,4,22,16,0,1,0,0,0.0
3,866.62,5912,35.0,2023,8,6,16,5,0,0,1,0.0
4,370.81,5812,60.0,2023,10,16,9,42,0,0,1,0.0
5,270.68,5999,32.0,2023,9,29,16,39,0,1,0,0.0
6,213.41,5912,43.0,2023,10,26,14,0,0,1,0,0.0
7,91.82,5411,73.0,2023,9,11,12,8,0,1,0,0.0
8,24004.0,5999,73.0,2024,2,22,19,37,0,0,1,0.0
9,682.03,5999,66.0,2024,5,3,22,49,0,0,1,0.0
10,971.92,5812,50.0,2024,12,1,12,15,0,0,1,0.0
11,20.46,5814,74.0,2023,12,14,10,7,0,1,0,0.0
12,878.13,5411,23.0,2024,2,3,23,40,0,1,0,0.0
13,995.15,5814,46.0,2024,12,1,15,54,0,1,0,0.0
14,64.96,5411,55.0,2024,12,5,13,32,0,0,1,0.0
15,71.92,5411,32.0,2024,1,22,3,19,0,1,0,0.0
16,82815.0,5814,60.0,2023,6,29,17,21,0,1,0,0.0
17,808.21,5999,24.0,2024,1,4,5,51,0,0,1,0.0
18,969.03,5812,28.0,2024,1,24,23,34,1,0,0,0.0
19,155.64,5814,31.0,2023,9,29,0,15,0,0,1,0.0
20,17154.0,5411,21.0,2024,2,20,21,25,0,0,1,0.0
21,57.82,5999,23.0,2023,2,8,6,34,0,1,0,0.0
22,675.54,5812,43.0,2024,4,28,11,56,0,0,1,0.0
23,239.45,5912,26.0,2024,5,5,15,42,1,0,0,0.0
24,98701.0,5999,48.0,2024,4,2,12,31,0,1,0,0.0
25,285.7,5912,71.0,2023,11,11,21,47,0,0,1,0.0
26,668.2,5999,37.0,2023,4,8,16,4,0,1,0,0.0
27,889.82,5999,27.0,2024,2,13,5,23,1,0,0,0.0
28,905.43,5411,23.0,2023,4,6,12,30,1,0,0,0.0
29,552.13,5912,53.0,2024,12,2,5,53,0,1,0,0.0
30,546.04,5814,55.0,2024,3,22,8,17,1,0,0,0.0
31,308.95,5411,75.0,2023,11,11,12,35,0,1,0,0.0
32,18873.0,5814,67.0,2023,10,6,15,56,0,0,1,0.0
33,925.84,5812,73.0,2023,10,27,20,54,0,1,0,0.0
34,180.18,5814,68.0,2024,3,17,18,13,0,0,1,0.0
35,267.54,5411,42.0,2023,2,6,18,53,1,0,0,0.0
